,start_station,start_terminal,trips,cluster
1,2nd at Folsom,62,7999,3
2,2nd at South Park,64,9469,3
3,2nd at Townsend,61,14026,1
4,5th at Howard,57,7708,3
5,Adobe on Almaden,5,562,2
6,Arena Green / SAP Center,14,647,2
7,Beale at Market,56,8359,3
8,Broadway St at Battery St,82,7676,3
9,California Ave Caltrain Station,36,400,2
10,Castro Street and El Camino Real,32,1230,2
11,Civic Center BART (7th at Market),72,7760,3
12,Clay at Battery,41,5040,3
13,Commercial at Montgomery,45,6014,3
14,Cowper at University,37,576,2
15,Davis at Jackson,42,5094,3
16,Embarcadero at Bryant,54,7483,3
17,Embarcadero at Folsom,51,7596,3
18,Embarcadero at Sansome,60,14158,1
19,Embarcadero at Vallejo,48,5037,3
20,Evelyn Park and Ride,30,978,2
21,Franklin at Maple,21,81,2
22,Golden Gate at Polk,59,3646,2
23,Grant Avenue at Columbus Avenue,73,8337,3
24,Harry Bridges Plaza (Ferry Building),50,17255,1
25,Howard at 2nd,63,6660,3
26,Japantown,9,885,2
27,Market at 10th,67,11885,3
28,Market at 4th,76,9894,3
29,Market at Sansome,77,11431,3
30,Mechanics Plaza (Market at Battery),75,6131,3
31,Mezes Park,83,212,2
32,MLK Library,11,1099,2
33,Mountain View Caltrain Station,28,3580,2
34,Mountain View City Hall,27,1583,2
35,Palo Alto Caltrain Station,34,1116,2
36,Park at Olive,38,376,2
37,Paseo de San Antonio,7,856,2
38,Post at Kearny,47,4705,3
39,Powell at Post (Union Square),71,6425,3
40,Powell Street BART,39,9695,3
41,Redwood City Caltrain Station,22,895,2
42,Redwood City Medical Center,26,150,2
43,Redwood City Public Library,24,118,2
44,Rengstorff Avenue / California Street,33,501,2
45,Ryland Park,84,1120,2
46,San Antonio Caltrain Station,29,1058,2
47,San Antonio Shopping Center,31,1069,2
48,San Francisco Caltrain (Townsend at 4th),70,26304,1
49,San Francisco Caltrain 2 (330 Townsend),69,21758,1
50,San Francisco City Hall,58,2052,2
51,San Jose City Hall,10,832,2
52,San Jose Civic Center,3,774,2
53,San Jose Diridon Caltrain Station,2,4968,3
54,San Mateo County Center,23,127,2
55,San Pedro Square,6,1418,2
56,San Salvador at 1st,8,495,2
57,Santa Clara at Almaden,4,1958,2
58,Santa Clara County Civic Center,80,534,2
59,SJSU - San Salvador at 9th,16,494,2
60,SJSU 4th at San Carlos,12,475,2
61,South Van Ness at Market,66,5876,3
62,Spear at Folsom,49,5574,3
63,St James Park,13,839,2
64,Stanford in Redwood City,25,436,2
65,Steuart at Market,74,13687,1
66,Temporary Transbay Terminal (Howard at Beale),55,14436,1
67,Townsend at 7th,65,13752,1
68,University and Emerson,35,605,2
69,Washington at Kearny,46,2660,2
70,Yerba Buena Center of the Arts (3rd @ Howard),68,5523,3
